doc_id,begin,end,Rules,TBM,LLM
15939911,96,104,0,0,0
15939911,707,712,0,0,1
18258107,1647,1654,0,0,0
18258107,2012,2020,0,1,0
18416479,1017,1019,0,0,0
18416479,2232,2235,0,0,0
18416479,2486,2494,0,0,0
18416479,2770,2778,0,0,0
19009665,1094,1101,0,0,0
19009665,1537,1556,0,0,0
19860007,467,470,0,0,0
19860007,1698,1703,0,0,0
21067996,456,458,0,0,0
21527041,1458,1473,0,0,0
21527041,1770,1775,0,1,0
21672201,1207,1209,0,0,0
21672201,1366,1374,0,0,0
22515939,523,544,0,0,0
22515939,546,572,0,0,0
22515939,582,585,0,0,0
22515939,1019,1026,0,0,0
22515939,1390,1397,0,0,0
22515939,1707,1714,0,0,0
22515939,1781,1787,0,1,0
22515939,1826,1833,0,0,0
22791498,1580,1587,0,0,0
22791498,1778,1781,0,1,0
22791498,1885,1892,0,0,0
24898994,979,985,0,1,0
24898994,1260,1276,0,1,0
24898994,1538,1550,0,0,0
25210224,292,300,0,0,0
25210224,362,372,0,0,0
25210224,1929,1934,0,0,0
25210224,2471,2485,0,0,0
25246819,638,656,0,0,0
25246819,1583,1604,0,0,0
25295501,1108,1114,0,0,0
25926582,434,438,0,1,0
26228535,2167,2172,0,1,0
26327988,216,222,0,1,0
26584481,1447,1463,0,0,0
26584481,1610,1624,0,0,0
26584481,1664,1675,0,0,0
26584481,1712,1732,0,0,0
26584481,1773,1788,0,0,0
26584481,1831,1849,0,0,0
26584481,2039,2050,0,0,0
26683938,143,147,0,0,0
26683938,2185,2189,0,0,0
26683938,2290,2294,0,0,0
27004009,1246,1265,0,0,0
27004009,1280,1285,0,1,0
27004009,1546,1551,0,0,0
27004009,1838,1855,0,0,0
27004009,1861,1872,0,0,0
27004009,2263,2268,0,1,0
27793101,611,617,0,0,0
27842595,721,726,0,0,0
27842595,1107,1112,0,0,0
27906105,675,678,0,0,0
27906105,931,938,0,0,0
28120581,737,745,0,0,0
28151882,75,83,0,0,0
28151882,2901,2909,0,0,0
28151882,3119,3122,0,0,0
28250406,215,219,0,0,0
28250406,316,320,0,0,0
28250406,2371,2378,0,0,0
28321073,635,645,0,0,0
28353604,774,776,0,0,0
